tip_label;region;family;Genera;hoarding_status;development_mode;fam_sys_known_nk50;fam_sys_inferred_nk50;incubation_period;in_nest_period;independ_period;time_after_fl_parents;fam_time;median_clutch_size;zoolrec_hits;brain_size;mov_min;mov_max;terr_sys;terr_sys_source;body_weight;weight_source;food_diversity;food_energy_mean;food_fibres_mean;habitat_gen_spec;flocking_tendency;flocking_reason;foraging.method;INTRA_COL;HET_COL;invertivore;aquatic;vertivore;carnivore;nectarivore;frugivore;granivore;plants;diet;Bio1_mean;Bio2_mean;Bio3_mean;Bio4_mean;Bio7_mean;Bio12_mean;Bio15_mean;altitude_mean;npp_mean;hoard;hoard2;type;strategy;strat_final;foodPCA1;foodPCA2;foodPCA3;foodPCA4;NestPlacement;A1;A2;A3;A4
Cinclodes_fuscus;Neotropical;Furnariidae;Cinclodes;control_species;altrical;NA;NA;NA;NA;NA;NA;NA;2;12;0.91168;1;1;;;29.5;hbw;0.721947394;207.5;3.36;generalist;NA;NA;GroundGeneralist;acolonial;acolonial;20;60;0;0;0;0;20;0;aquatic;9.313102271;12.62263796;5.102932038;444.5193733;24.59501116;337.4195878;44.20589909;1103.856247;1.08E+11;0;NA;NA;NA;no;-0.220266232;-0.107569107;0.110024207;0.037303676;Cavity;-0.220266232;-0.107569107;0.110024207;0.037303676
Cinclodes_nigrofumosus;Neotropical;Furnariidae;Cinclodes;control_species;altrical;NA;NA;NA;NA;NA;NA;NA;4;10;NA;0;0;;;65;hbw;0.721947394;160.05216;2.16;specialist;sometimes;foraging;GroundGeneralist;acolonial;acolonial;30;70;0;0;0;0;0;0;aquatic;14.66733668;10.61497487;5.665427136;279.6420101;18.60532663;455.4663317;78.32462312;541.5104945;2.61E+11;0;NA;NA;NA;no;-0.271605429;-0.004191754;-0.012505281;-0.037886095;Cavity;NA;NA;NA;NA
Cinclus_cinclus;Palearctic;Cinclidae;Cinclus;control_species;altrical;no_fam;no_fam;13;22;14;39.5;25.5;5;650;1.371428571;0;3;breeding_terr;hbw;61.75;hbw;0.721947394;160.05216;2.16;specialist;NA;unknown;GroundGeneralist;acolonial;acolonial;0;100;0;0;0;0;0;0;aquatic;3.790513297;10.96544858;2.98904963;929.5870663;37.31359203;586.7696114;58.14076432;1400.929228;1.67E+11;0;NA;NA;NA;no;-0.287494275;0.002262408;0.010524268;-0.010212265;Cavity;-0.287494275;0.002262408;0.010524268;-0.010212265
Cinclus_mexicanus;Nearctic;Cinclidae;Cinclus;control_species;altrical;no_fam;no_fam;15.5;25;24;24;0;4;87;1.4504;0;1;breeding_terr;hbw;57.125;hbw;0.921945157;169.56608;2.16;specialist;NA;unknown;GroundGeneralist;acolonial;acolonial;0;100;0;0;0;0;0;0;aquatic;0.449121931;11.94756748;3.132029133;974.2235836;39.49905674;587.3104818;46.99928695;1099.007795;1.53E+11;0;NA;NA;NA;no;-0.292780471;0.006335009;0.026693431;0.011634769;Cavity;-0.292780471;0.006335009;0.026693431;0.011634769
Cinclus_pallasii;Palearctic;Cinclidae;Cinclus;control_species;altrical;NA;NA;NA;NA;NA;NA;NA;4;26;NA;0;1;breeding_terr;hbw;84.875;hbw;2.22E-05;173.3;2.6;specialist;NA;NA;GroundGeneralist;acolonial;acolonial;0;100;0;0;0;0;0;0;aquatic;5.759257806;10.34178614;2.786412503;1038.034664;39.42067995;871.6137884;72.42631846;941.4179164;2.29E+11;0;NA;NA;NA;no;-0.292780471;0.006335009;0.026693431;0.011634769;Cavity;-0.292780471;0.006335009;0.026693431;0.011634769
Cinnyricinclus_leucogaster;Africa;Sturnidae;Cinnyricinclus;control_species;altrical;family;family;13;21;NA;NA;NA;3;26;1.22248;3;3;breeding_terr;hbw;44;hbw;0.721947394;80.42;8.36;;usually;family;Gleaning;acolonial;acolonial;20;0;0;0;0;80;0;0;frugivore;23.77385119;13.75742539;6.326153833;210.3210646;21.87789379;952.9578993;95.64546003;785.2805026;4.33E+11;0;NA;NA;NA;no;0.458682803;0.44004431;0.089370856;-0.000347901;Cavity;0.458682803;0.44004431;0.089370856;-0.000347901
Circaetus_beaudouini;;Accipitridae;Circaetus;non_hoarder;altrical;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;;;;Elton_GenAvg;0.721947394;202.2;0.4;;NA;NA;AerialSallying;acolonial;acolonial;0;0;100;0;0;0;0;0;vertivore;27.06966357;14.35733568;6.015698976;220.012745;23.74796174;858.6563793;119.2409957;369.1274578;3.07E+11;0;N;;N;no;0.31403525;-0.125587032;-0.410031609;-0.547210282;ExposedElevated;0.31403525;-0.125587032;-0.410031609;-0.547210282
Circaetus_cinerascens;Africa;Accipitridae;Circaetus;non_hoarder;altrical;no_fam;no_fam;NA;NA;NA;NA;NA;1;18;NA;0;0;territorial;hbw;1126;MG-hbw;1.356794158;189.79608;0.62;specialist;no_flocks;no_flocks;AerialSallying;acolonial;acolonial;10;10;80;0;0;0;0;0;vertivore;23.77318847;13.14820088;6.579079412;163.0671091;20.24637256;1148.785814;89.4059552;794.4285399;5.42E+11;0;N;;N;no;0.249573704;-0.114730742;-0.38394297;-0.534016307;ExposedElevated;0.249573704;-0.114730742;-0.38394297;-0.534016307
Circaetus_cinereus;Africa;Accipitridae;Circaetus;non_hoarder;altrical;family;family;NA;NA;7;57;50;1;30;14.5;0;3;breeding_terr;hbw;2002.5;hbw;0.469015229;202.2;0.4;specialist;usually;family;AerialSallying;acolonial;acolonial;0;0;100;0;0;0;0;0;vertivore;23.66662826;13.60406128;6.377430716;214.8260962;21.5979546;886.4227573;99.2826184;791.4356456;4.22E+11;0;N;;N;no;0.31403525;-0.125587032;-0.410031609;-0.547210282;ExposedElevated;0.31403525;-0.125587032;-0.410031609;-0.547210282
Circaetus_fasciolatus;Africa;Accipitridae;Circaetus;non_hoarder;altrical;no_fam;no_fam;NA;NA;NA;NA;NA;1;17;9.5;0;0;territorial;hbw;1009;hbw;1.156796396;199.31;0.62;generalist;no_flocks;no_flocks;AerialSallying;acolonial;acolonial;10;0;90;0;0;0;0;0;vertivore;24.70393692;11.00240526;6.684740186;176.0696619;16.43643068;917.7524393;85.27047878;301.2821687;5.28E+11;0;N;;N;no;0.31403525;-0.125587032;-0.410031609;-0.547210282;ExposedElevated;0.31403525;-0.125587032;-0.410031609;-0.547210282
Circaetus_gallicus;Widespread;Accipitridae;Circaetus;non_hoarder;altrical;no_fam;no_fam;46;70;30;30;0;1;306;13.468;0;3;solitary_nester;hbw;1600;hbw;0.469015229;202.2;0.4;specialist;no_flocks;no_flocks;AerialScreaning;acolonial;acolonial;0;0;100;0;0;0;0;0;vertivore;12.18180076;11.16952879;3.171454374;883.152054;36.46100965;543.738014;57.82398302;497.0869396;1.55E+11;0;N;;N;no;0.31403525;-0.125587032;-0.410031609;-0.547210282;ExposedElevated;0.31403525;-0.125587032;-0.410031609;-0.547210282
Circaetus_pectoralis;Africa;Accipitridae;Circaetus;non_hoarder;altrical;family;family;NA;NA;180;480;300;1;14;NA;2;2;breeding_terr;hbw;1719;hbw;1.570964811;189.79608;0.62;specialist;sometimes;family;AerialSallying;acolonial;acolonial;10;10;80;0;0;0;0;0;vertivore;22.06525925;13.44727382;6.500467269;220.1525925;21.08015169;802.984566;90.65215006;936.6236553;4.18E+11;0;N;;N;no;0.31403525;-0.125587032;-0.410031609;-0.547210282;ExposedElevated;0.31403525;-0.125587032;-0.410031609;-0.547210282
